res,treatment_idx,midx
2.261122,1,7
2.154603,1,7
1.23813,1,7
2.250996,1,7
0.8628316,1,7
1.711123,1,7
1.284503,1,7
1.582581,1,7
1.057543,1,7
1.09149,1,7
1.68226,1,7
1.40736,1,7
1.414543,1,7
2.065805,1,7
1.26333,1,7
1.486808,1,7
1.303512,1,7
1.20343,1,7
2.344989,1,7
1.169586,1,7
1.619956,1,7
1.281187,1,7
0.8562731,1,7
1.438355,1,7
1.622588,1,7
0.9181183,1,7
1.42815,1,7
1.690279,1,7
1.947603,1,7
1.731992,1,7
1.13776,1,7
1.717434,1,7
1.514597,1,7
1.369854,1,7
1.631604,1,7
1.107298,1,7
1.334569,1,7
1.761348,1,7
1.24812,2,8
1.378986,2,8
1.236088,2,8
1.262629,2,8
1.330768,2,8
2.753683,2,8
1.59992,2,8
1.764804,2,8
0.7802001,2,8
1.573152,2,8
2.305868,2,8
1.550367,2,8
2.453049,2,8
1.259284,2,8
2.396192,2,8
0.950013,2,8
2.523086,2,8
1.642367,2,8
1.410225,2,8
2.155378,2,8
2.409765,2,8
1.54542,2,8
3.166141,2,8
3.143896,2,8
1.996648,2,8
1.246463,2,8
1.177295,2,8
1.457931,2,8
1.210394,2,8
1.993171,2,8
2.08036,2,8
0.9418107,2,8
1.306743,2,8
0.8466725,2,8
2.148091,2,8
1.287894,2,8
1.789055,2,8
1.411457,2,8
1.338441,2,8
0.6314204,2,8
2.170938,2,8
1.315045,2,8
1.324402,2,8
0.8924085,2,8
2.452642,2,8
1.550659,2,8
1.602634,2,8
0.9341682,2,8
0.6929567,2,8
1.320787,2,8
1.5234,2,8
2.019349,2,8
1.012545,2,9
1.683236,2,9
1.075995,2,9
0.9238495,2,9
0.9486604,2,9
2.029848,2,9
1.106908,2,9
1.580013,2,9
1.114499,2,9
0.9076812,2,9
1.773795,2,9
1.248399,2,9
0.7860329,2,9
1.741822,2,9
0.704416,2,9
0.9459538,2,9
0.7427995,2,9
1.860056,2,9
1.374467,2,9
3.360386,2,9
1.587766,2,9
1.105119,2,9
3.411989,2,9
3.205507,2,9
1.903921,2,9
1.174803,2,9
1.229729,2,9
2.390815,2,9
0.2842573,2,9
1.345502,2,9
1.110304,2,9
1.581137,2,9
1.146691,2,9
1.184134,2,9
0.8076392,2,9
1.503428,2,9
0.8140823,2,9
0.4758411,2,9
0.3961899,2,9
0.5484362,2,9
0.1629546,2,9
0.4964426,2,9
1.021767,2,9
1.907415,2,9
1.78115,2,9
1.310535,2,9
1.515591,2,9
1.728514,2,9
0.6928065,2,9
2.184932,2,9
1.97005,2,9
1.614173,2,9
2.219377,2,9
1.579368,2,9
1.694195,2,10
0.1014207,2,10
2.023435,2,10
2.922804,2,10
0.8853779,2,10
1.390275,2,10
1.64711,2,10
2.122675,2,10
1.093546,2,10
0.9677807,2,10
1.087447,2,10
1.3136,2,10
3.359185,2,10
0.9683686,2,10
1.530319,2,10
1.5876,2,10
1.015861,2,10
1.793168,2,10
1.259926,2,10
2.170482,2,10
1.292049,2,10
0.3579858,2,10
1.710034,2,10
1.32109,2,10
1.547083,2,10
2.854095,2,10
1.588583,2,10
0.9987417,2,10
2.72157,2,10
1.895623,2,10
3.258177,2,10
1.710482,2,10
1.883191,2,10
1.468098,2,10
2.46943,2,10
2.000756,2,10
1.152887,2,10
2.062716,2,10
2.082648,2,10
1.389987,2,10
2.588081,2,10
1.910575,2,10
1.130277,2,10
1.279427,2,10
1.022119,2,10
1.282818,2,10
1.170124,2,10
1.757775,2,10
1.267838,2,10
0.5857627,2,10
1.480433,2,10
0.5917699,2,10
2.128082,2,10
2.507417,2,10
3.419505,2,11
1.928854,2,11
2.143802,2,11
0.7814664,2,11
0.8033625,2,11
0.2531671,2,11
0.6495982,2,11
0.6791452,2,11
2.872809,2,11
5.22044,2,11
2.876148,2,11
2.671903,2,11
3.316995,2,11
2.217314,2,11
1.723921,2,11
2.517833,2,11
0.9084759,2,11
0.8919509,2,11
1.940755,2,11
1.87954,2,11
2.297485,2,11
1.493196,2,11
1.683719,2,11
0.9828454,2,11
0.485092,2,11
1.240692,2,11
1.620154,2,11
2.23475,2,11
2.073435,2,11
1.581683,2,11
1.067786,2,11
1.235749,2,11
1.134896,2,11
0.3081782,2,11
0.8728453,2,11
0.3084504,2,11
0.9247221,2,11
2.315748,2,11
1.045099,2,11
0.7463835,2,11
0.7346637,2,11
1.000824,2,11
1.37519,2,11
1.551533,2,11
1.044839,2,11
1.285627,2,11
1.028438,2,11
1.040019,2,12
1.056989,2,12
1.191906,2,12
2.068084,2,12
0.7750287,2,12
1.367874,2,12
2.728322,2,12
1.659246,2,12
1.881756,2,12
1.646859,2,12
0.782055,2,12
0.8951074,2,12
1.265355,2,12
1.601409,2,12
0.5774251,2,12
0.8487019,2,12
2.197008,2,12
1.323249,2,12
0.8046449,2,12
1.378949,2,12
1.624376,2,12
2.416052,2,12
1.448682,2,12
1.140378,2,12
2.26904,2,12
2.801331,2,12
4.213882,2,12
3.009389,2,12
3.796313,2,12
2.288081,2,12
0.7867364,2,12
2.869525,2,12
1.265026,2,12
0.8997075,2,12
0.8735831,2,12
1.832489,2,12
1.596218,2,12
2.208975,2,12
1.540815,2,12
1.182395,2,12
0.8849802,2,12
1.141199,2,12
1.052463,2,12
2.328453,2,12
3.672364,2,12
3.408165,2,12
2.028704,2,12
1.219439,2,12
3.10137,2,12
1.624016,2,12
1.813973,2,12
1.734835,2,12
2.483778,2,12
2.036427,2,13
4.07089,2,13
5.301459,2,13
3.37101,2,13
3.205526,2,13
4.102189,2,13
3.690295,2,13
3.878176,2,13
2.79604,2,13
3.74453,2,13
2.617919,2,13
2.142024,2,13
2.755565,2,13
3.331683,2,13
2.417119,2,13
2.194107,2,13
2.848608,2,13
2.368556,2,13
3.113863,2,13
2.350301,2,13
1.91858,2,13
1.446659,2,13
3.682663,2,13
3.203901,2,13
3.094285,2,13
2.129775,2,13
4.626817,2,13
3.368538,2,13
2.527307,2,13
2.507547,2,13
2.140875,2,13
4.059873,2,13
1.561726,2,13
2.63524,2,13
1.933819,2,13
1.951389,2,13
4.013492,2,13
2.472716,2,13
5.286296,2,13
3.62452,2,13
4.599473,2,13
2.087855,2,13
2.595868,2,13
2.325791,2,13
2.834142,2,13
2.202718,2,13
3.592691,2,13
2.61775,2,13
2.380566,2,13
3.696401,3,14
1.572851,3,14
1.492028,3,14
2.671358,3,14
1.566067,3,14
1.370874,3,14
2.044981,3,14
1.361379,3,14
1.312822,3,14
2.764944,3,14
2.606445,3,14
3.632158,3,14
2.21628,3,14
2.960909,3,14
2.377679,3,14
3.329565,3,14
1.251455,3,14
1.67586,3,14
2.175826,3,14
2.314029,3,14
1.231009,3,14
2.677039,3,14
1.936217,3,14
1.338202,3,14
2.149365,3,14
2.007364,3,14
2.262609,3,14
1.604157,3,14
1.543623,3,14
1.603707,3,14
2.077702,3,14
1.051096,3,14
1.534582,3,14
0.8503054,3,14
0.9908593,3,14
0.6218851,3,14
1.642625,3,14
2.616793,3,14
0.9953006,3,14
2.560925,3,14
2.241089,3,14
1.238475,3,14
2.152431,3,14
1.009206,3,14
1.82577,3,14
1.195771,3,14
2.037285,3,14
1.299855,3,15
1.449858,3,15
2.346272,3,15
2.056028,3,15
1.230163,3,15
0.9023832,3,15
1.906052,3,15
6.977515,3,15
3.339307,3,15
2.183933,3,15
1.717264,3,15
0.8819599,3,15
1.795022,3,15
2.885772,3,15
1.825752,3,15
2.567898,3,15
1.082404,3,15
2.016817,3,15
1.958838,3,15
1.315887,3,15
1.295514,3,15
1.055825,3,15
1.309416,3,15
1.77944,3,15
1.845418,3,15
1.030273,3,15
0.6144091,3,15
1.826412,3,15
1.611592,3,15
0.9552153,3,15
1.7276,3,15
1.49051,3,15
1.6726,3,15
1.3615,3,15
0.9235328,3,15
1.123425,3,15
1.781959,3,15
2.227063,3,15
1.642015,3,15
0.1882291,3,15
0.9514211,3,15
1.260109,3,15
2.086489,3,15
1.371367,3,15
1.422342,3,15
1.374743,3,15
0.8416096,3,15
1.196119,3,15
2.756092,3,16
2.702324,3,16
2.492199,3,16
1.314774,3,16
2.615971,3,16
1.279445,3,16
2.607672,3,16
1.13209,3,16
1.639426,3,16
1.826099,3,16
1.26231,3,16
2.307051,3,16
1.15502,3,16
1.175019,3,16
2.552005,3,16
1.021164,3,16
1.979276,3,16
2.108259,3,16
1.477415,3,16
2.30801,3,16
1.647682,3,16
2.122048,3,16
2.917682,3,16
3.038172,3,16
0.7981706,3,16
2.595953,3,16
1.37984,3,16
1.649712,3,16
1.934074,3,16
2.186685,3,16
1.523116,3,16
4.406208,3,16
2.899785,3,16
2.398344,3,16
1.355695,3,16
0.8170651,3,16
1.971729,3,16
1.360191,3,16
2.580419,3,16
1.508197,3,16
2.085488,3,16
1.424648,3,16
1.840751,3,16
2.473296,3,16
1.957284,4,17
0.9652704,4,17
1.206167,4,17
1.370355,4,17
2.061982,4,17
2.019954,4,17
1.68693,4,17
2.44003,4,17
1.479547,4,17
1.698445,4,17
2.373276,4,17
2.884207,4,17
2.905698,4,17
2.620946,4,17
2.005649,4,17
2.491507,4,17
0.7675044,4,17
1.22248,4,17
1.333598,4,17
2.503651,4,17
3.22103,4,17
1.965456,4,17
0.9805036,4,17
1.504519,4,17
0.7415968,4,17
1.413991,4,17
2.805232,4,17
1.495677,4,17
1.71251,4,17
1.781953,4,17
1.335488,4,17
1.552628,4,17
1.983507,4,17
2.309782,4,17
2.938349,4,17
2.112209,4,17
1.895583,4,17
0.5872412,4,17
3.503239,4,17
1.186764,4,17
1.893075,4,17
1.600466,4,17
2.356601,4,17
2.920569,4,17
2.097337,4,17
3.199606,4,17
2.431151,4,17
2.108393,4,17
4.297646,4,17
1.451809,4,17
0.7333917,4,18
0.8371488,4,18
0.9925019,4,18
0.8295437,4,18
1.066782,4,18
1.392839,4,18
1.84097,4,18
1.126609,4,18
0.3153943,4,18
0.6566024,4,18
0.2052073,4,18
0.765561,4,18
1.82148,4,18
0.6622351,4,18
0.5628628,4,18
1.349694,4,18
0.5586436,4,18
1.15919,4,18
0.2211201,4,18
0.8345286,4,18
1.218338,4,18
0.6621762,4,18
0.9502494,4,18
1.109351,4,18
1.265295,4,18
1.367506,4,18
0.7328995,4,18
0.4144574,4,18
0.7101529,4,18
0.8330644,4,18
0.5013125,4,18
1.245054,4,18
0.7098652,4,18
0.3595696,4,18
0.5024582,4,18
0.6613193,4,18
0.4789801,4,18
0.2609445,4,18
0.360461,4,18
1.189929,4,18
0.7394966,4,18
0.8974775,4,18
0.7387344,4,18
0.9886606,4,18
1.362112,4,18
1.301612,4,19
0.6563684,4,19
1.058877,4,19
0.5401311,4,19
0.936807,4,19
0.4274354,4,19
0.44587,4,19
0.7961597,4,19
1.46661,4,19
1.013478,4,19
0.9153548,4,19
0.4843174,4,19
0.9900389,4,19
0.734125,4,19
0.7119446,4,19
1.372318,4,19
0.6397681,4,19
0.4814996,4,19
1.601608,4,19
1.402419,4,19
1.062621,4,19
0.6503627,4,19
1.389633,4,19
1.321236,4,19
0.7159811,4,19
0.493936,4,19
0.9197452,4,19
0.8976973,4,19
0.4915097,4,19
0.2684546,4,19
0.3769165,4,19
0.6485602,4,19
0.463056,4,19
0.2924226,4,19
0.475054,4,19
0.7645896,4,19
0.9122488,4,19
0.406241,4,19
1.006856,4,19
0.4326008,4,19
0.6991366,4,19
0.9603247,4,19
0.5207295,4,19
0.5327561,4,19
0.6800145,4,19
0.5522658,4,19
0.4680757,4,19
0.1763611,4,19
0.5595219,4,19
0.3175558,4,19
0.9566962,4,19
0.5943313,4,19
0.3427992,4,19
0.3344797,4,19
0.7833909,4,19
0.482632,5,20
0.2490922,5,20
0.3046041,5,20
0.1823727,5,20
0.2023083,5,20
0.1381023,5,20
0.2113519,5,20
0.3287103,5,20
0.6358136,5,20
0.3326486,5,20
0.09461685,5,20
0.1215205,5,20
0.3397582,5,20
0.6724496,5,20
0.5112581,5,20
1.225154,5,20
0.1552844,5,20
0.3685955,5,20
0.5163257,5,20
0.1906231,5,20
0.247246,5,20
0.1526085,5,20
0.1372222,5,20
0.3426333,5,20
0.3793232,5,20
0.395804,5,20
0.09935088,5,20
0.2076305,5,20
0.6767654,5,20
0.06125632,5,20
0.2648202,5,20
0.1887688,5,20
0.1528983,5,20
0.1466588,5,20
0.2352722,5,20
0.1134452,5,20
0.09583271,5,20
0.5632627,5,20
0.1286416,5,20
0.292703,5,20
1.159661,5,20
0.3740422,5,20
0.2045284,5,20
0.2120086,5,20
0.1933449,5,20
0.4109276,5,20
0.3247615,5,20
1.812611,5,21
0.4094681,5,21
0.9835675,5,21
0.6073139,5,21
0.2009316,5,21
0.3220708,5,21
0.6892952,5,21
0.3405003,5,21
0.8400924,5,21
0.7574331,5,21
0.8318204,5,21
0.9653618,5,21
0.8137273,5,21
0.8431658,5,21
0.9025329,5,21
1.172013,5,21
1.672131,5,21
0.7877293,5,21
0.410818,5,21
0.3948801,5,21
0.9194589,5,21
0.7245173,5,21
0.8099842,5,21
0.6442298,5,21
0.4575385,5,21
1.129412,5,21
1.367163,5,21
0.9190026,5,21
0.6886241,5,21
0.6398739,5,21
0.3554114,5,21
1.041977,5,21
0.985791,5,21
0.8109592,5,21
0.7843006,5,21
0.9280796,5,21
0.9257373,5,21
1.232686,5,21
0.7387226,5,21
0.9969825,5,21
0.8480281,5,21
1.267972,5,21
1.117042,5,21
0.2023396,5,21
1.294161,5,21
1.08306,5,21
0.6003386,5,21
1.671177,5,21
0.7102062,5,21
0.5096318,5,21
0.628122,5,21
0.8746105,5,21
1.019301,5,21
0.2759543,5,21
1.348737,5,21
1.168649,5,21
0.7023102,5,21
0.3367662,5,22
1.008497,5,22
0.6544836,5,22
0.5203067,5,22
0.7425638,5,22
0.001412198,5,22
0.151995,5,22
0.5202627,5,22
0.5600314,5,22
0.4853583,5,22
2.195871,5,22
0.5734383,5,22
0.9522303,5,22
0.7846181,5,22
0.3421682,5,22
0.4125526,5,22
0.5280266,5,22
0.5156285,5,22
1.130975,5,22
0.8067278,5,22
0.9294693,5,22
0.354244,5,22
1.36455,5,22
0.8241387,5,22
0.7767956,5,22
0.3302352,5,22
0.2566078,5,22
0.2833766,5,22
0.71639,5,22
1.048554,5,22
0.6516848,5,22
0.9528823,5,22
0.6650459,5,22
1.188852,5,22
0.9972976,5,22
0.5156188,5,22
0.372482,5,22
0.7893518,5,22
0.540513,5,22
0.6213527,5,22
1.005358,5,22
0.8032629,5,22
1.042818,5,22
0.6574213,5,22
1.101651,5,22
1.414582,5,22
0.7543375,5,22
0.1329009,5,23
0.06006361,5,23
0.1677868,5,23
0.3335879,5,23
0.1708734,5,23
0.06161315,5,23
0.1542896,5,23
0.1830152,5,23
0.207765,5,23
0.1555755,5,23
0.367526,5,23
0.2945725,5,23
0.09622535,5,23
0.1306142,5,23
0.003039341,5,23
0.1446773,5,23
0.06535224,5,23
0.0279607,5,23
0.4204117,5,23
0.2904241,5,23
0.4133081,5,23
0.1734157,5,23
0.1241561,5,23
0.1961809,5,23
0.3982443,5,23
0.09575265,5,23
0.09169597,5,23
0.6643777,5,23
0.1088292,5,23
0.001940861,5,23
0.1995866,5,23
0.01723639,5,23
0.1135691,5,23
0.1029776,5,23
0.161685,5,23
0.07722976,5,23
0.1272059,5,23
0.156492,5,23
0.1404528,5,23
0.1005768,5,23
0.2560305,5,23
0.4194341,5,23
0.1083384,5,23
0.3553519,5,23
0.1612808,5,23
0.2238003,5,23
0.4044286,5,23
0.4306265,5,23
0.204453,5,23
0.4592521,5,23
0.7270954,5,23
0.4290047,5,23
1.074846,5,24
0.4429601,5,24
0.8593434,5,24
1.574637,5,24
0.8260048,5,24
3.009876,5,24
1.698789,5,24
1.044712,5,24
1.559932,5,24
1.681591,5,24
2.062736,5,24
1.040747,5,24
1.83822,5,24
0.1280161,5,24
0.5808212,5,24
0.7347502,5,24
0.3437306,5,24
1.448931,5,24
1.281198,5,24
1.074941,5,24
0.8298323,5,24
2.136707,5,24
1.870449,5,24
1.097351,5,24
1.103021,5,24
1.599619,5,24
2.540314,5,24
2.306574,5,24
1.284982,5,24
1.580981,5,24
0.9497263,5,24
1.203717,5,24
1.485158,5,24
1.94575,5,24
1.142341,5,24
0.625047,5,24
0.03267594,5,24
1.53325,5,24
0.5338543,5,24
1.580074,5,24
2.586787,5,24
0.3265478,5,24
